peers;starttime;endtime;avarage_delay;variance;deviation;%cpu_usage;txkb/s;rxkb/s;kbmemfree;kbmemused
10;1516907393;1516907404;0.836734693878;0.485420408163;0.696721183949;3.1574999999999989;22.2958333333;6.97416666667;5720077.0;2345807.0
20;1516907463;1516907474;1.42424242424;0.446944444444;0.668539037338;4.0250000000000057;43.8108333333;13.1316666667;5712488.33333;2353395.66667
30;1516907534;1516907545;2.09;0.7619;0.872868833216;5.2783333332999973;66.455;21.3175;5690368.0;2375516.0
40;1516907605;1516907616;2.63636363636;0.615802020202;0.784730539868;5.9249999999999972;87.3233333333;25.5725;5663030.0;2402854.0
50;1516907677;1516907688;3.58585858586;0.569974747475;0.754966719448;6.3799999999999955;109.048333333;31.9758333333;5654586.66667;2411297.33333
60;1516907746;1516907757;4.5;0.39;0.62449979984;7.3525000000000063;130.884166667;38.0991666667;5630570.66667;2435313.33333
70;1516907818;1516907829;5.5612244898;0.458214285714;0.676915272183;8.321666666699997;152.420833333;44.2741666667;5622140.33333;2443743.66667
80;1516907888;1516907899;6.89690721649;0.491121649485;0.700800720237;9.5341666667000027;176.093333333;51.0091666667;5614793.66667;2451090.33333
90;1516907960;1516907971;8.21052631579;0.503157894737;0.709336235319;10.289166666699998;197.830833333;56.9283333333;5595657.0;2470227.0
100;1516908035;1516908046;9.79166666667;0.5251;0.72463784058;10.788333333300002;218.0675;62.6383333333;5584619.33333;2481264.66667
110;1516908104;1516908115;11.6105263158;0.597452631579;0.772950600995;12.158333333300007;242.008333333;69.7083333333;5577595.33333;2488288.66667
120;1516908177;1516908188;13.3409090909;0.781127272727;0.883814048727;13.485833333299993;263.909166667;75.7325;5569395.66667;2496488.33333
130;1516908247;1516908258;15.0333333333;0.778455555556;0.882301283891;14.355833333299998;285.025;81.8816666667;5538887.0;2526997.0
140;1516908322;1516908333;18.2323232323;3.39505050505;1.8425662824;15.322500000000005;307.785833333;88.1183333333;5530391.0;2535493.0
150;1516908391;1516908402;20.2564102564;0.782553846154;0.88462073577;16.663333333300002;329.524166667;94.6608333333;5520782.0;2545102.0
160;1516908467;1516908477;22;1.39404255319;1.18069579198;17.459999999999994;351.047272727;98.1463636364;5456918.90909;2608965.09091
170;1516908502;1516908513;27.0315789474;1.74511052632;1.32102631553;19.569166666699999;368.538333333;105.254166667;5449699.66667;2616184.33333
180;1516908574;1516908585;29.3466666667;0.9745;0.987167665597;21.212500000000006;398.689166667;115.048333333;5439910.66667;2625973.33333
190;1516908649;1516908660;35.064516129;2.44551075269;1.56381288928;22.699166666699995;417.0175;120.464166667;5429757.33333;2636126.66667
200;1516908720;1516908731;34.4367816092;1.1231816092;1.05980262747;23.640000000000001;443.23;127.250833333;5420277.0;2645607.0
210;1516908792;1516908803;39.0306122449;1.88066326531;1.37137276672;24.961666666699998;468.083333333;133.0625;5409883.66667;2656000.33333
220;1516908866;1516908877;49.1046511628;0.725876744186;0.851984004654;27.997500000000002;487.59;140.734166667;5399799.66667;2666084.33333
230;1516908940;1516908951;46.2127659574;1.72997446809;1.31528493798;28.194166666699999;523.1425;149.909166667;5390275.66667;2675608.33333
240;1516909007;1516909018;48.404040404;4.58857676768;2.14209634883;28.736666666700003;541.300833333;156.1975;5381530.33333;2684353.66667
250;1516909098;1516909109;51.8775510204;3.24254897959;1.80070791068;29.969999999999999;552.98;159.761666667;5372109.33333;2693774.66667
260;1516909185;1516909196;54.125;2.4681;1.57101877774;30.782499999999999;569.05;164.964166667;5363666.33333;2702217.66667
270;1516909266;1516909277;60.76;3.8824;1.97038067388;33.799166666700003;611.48;178.120833333;5355385.0;2710499.0
280;1516909366;1516909377;61.2604166667;4.19901666667;2.04915023038;34.054166666699999;619.254166667;181.86;5308554.0;2757330.0
